Skytrain,Canada Line
Waterfront Stn,Waterfront Stn
Burrard Stn,Vancouver City Centre Stn
Granville Stn,Yaletown-Roundhouse Stn
Stadium-Chinatown Stn,Olympic Village Stn
Main Street-Science World Stn,Broadway-City Hall Stn
Commercial-Broadway Stn Platform 3,King Edward Stn
Nanaimo Stn,Oakridge-41st Avenue Stn
29Th Avenue Stn,Langara-49th Avenue Stn
Joyce-Collingwood Stn,Marine Drive Stn
Patterson Stn,Bridgeport Stn
Metrotown Stn,Aberdeen Stn
Royal Oak Stn,Lansdowne Stn
Edmonds Stn,Brighouse Stn
22Nd Street Stn,Templeton Stn
New Westminster Stn,Sea Island Centre Stn
Columbia Stn,YVR-Airport Stn
Scott Road Stn,
Gateway Stn,
Surrey Central Stn,
King George Stn,
Sapperton Stn,
Braid Stn,
Lougheed Town Centre Stn,
Production Way-University Stn,
Lake City Way Stn,
Sperling-Burnaby Lake Stn,
Holdom Stn,
Brentwood Town Centre Stn,
Gilmore Stn,
Rupert Stn,
Renfrew Stn,
VCC-Clark Stn,
